test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,get_products,00:00:30,global information,300,300,0,10,11.34,82.16,1083.55,25.76,76.29,304.38,926.72,149.95,4.224,4.224,4.224,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_product_by_id,00:00:30,global information,300,300,0,10,5.43,55.66,975.04,14.74,44.1,229.76,700.42,118.5,0.3,0.357,0.408,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,create_product,00:00:30,global information,150,150,0,5,7.02,65.69,1119.39,15.78,50.02,237.95,927.23,142.38,0.52,0.521,0.522,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_categories,00:00:30,global information,300,300,0,10,8.11,84.41,1172.65,24.13,75.01,333.57,972.8,163.32,1.25,1.25,1.25,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_orders,00:00:30,global information,300,300,0,10,11,85.46,1073.25,25.47,75.26,386.3,926.21,154.18,5.313,5.313,5.313,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
