test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,get_products,00:00:30,global information,2942,0,2942,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1,4220.21,27877.3,38065.66,30326.78,33406.98,36241.41,37945.34,9784.81,39.208,0.173,39.208,0.5
nbomber_default_test_suite_name,nbomber_default_test_name,get_product_by_id,00:00:30,global information,3000,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4220.9,28466.52,38390.34,30195.71,33652.74,36896.77,37519.36,9381.41,3.683,0.232,39.482,0.7
nbomber_default_test_suite_name,nbomber_default_test_name,create_product,00:00:30,global information,1500,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4287.35,24107.04,38069.78,27770.88,30031.87,35258.37,37158.91,9247.44,0.208,0.109,0.209,0.2
nbomber_default_test_suite_name,nbomber_default_test_name,get_categories,00:00:30,global information,3000,19,2981,0.6,19329.94,24856.62,32825.86,22560.77,27475.97,31686.66,32833.54,4109.99,2.036,2.036,2.036,0.0,99.4,4228.43,27476.71,38395.85,30244.86,33406.98,35815.42,37355.52,10115.5,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_orders,00:00:30,global information,2945,0,2945,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2,4229.89,28459.91,37932.87,30425.09,33816.57,36208.64,37847.04,9338.47,39.424,0.16,39.424,0.5
nbomber_default_test_suite_name,nbomber_default_test_name,browse_and_review,00:00:39,global information,796,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,2574.89,24249.94,37962.51,30031.87,33046.53,35913.73,37355.52,12388.69,39.208,0.147,39.208,0.1
nbomber_default_test_suite_name,nbomber_default_test_name,create_order_workflow,00:00:38,global information,579,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,3249.03,25352.14,68934.53,30031.87,32473.09,35586.05,37847.04,12093.58,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,user_registration_and_browse,00:00:36,global information,361,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2420.74,22559.72,37521.34,25968.64,30015.49,35520.51,36831.23,10164.49,0.194,0.089,0.194,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,stress_get_products,00:00:31,global information,7319,0,7319,0,0,0,0,0,0,0,0,0,0,0,0,0,236.1,2945.48,24998.4,38385.65,30031.87,33308.67,36896.77,37650.43,12032.56,3.668,0.011,39.208,0.1
nbomber_default_test_suite_name,nbomber_default_test_name,spike_test,00:00:33,global information,4706,0,4706,0,0,0,0,0,0,0,0,0,0,0,0,0,142.6,2228.14,14073.25,38060.88,5898.24,30015.49,34537.47,37289.98,12935.43,3.668,0.05,39.208,0.2
nbomber_default_test_suite_name,nbomber_default_test_name,constant_load,00:00:42,global information,190,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,2854.39,24484.69,38259.16,30015.49,30851.07,33177.6,33341.44,10891.02,39.047,0.617,39.151,0.1
nbomber_default_test_suite_name,nbomber_default_test_name,mixed_operations_stress,00:00:33,global information,2671,1,2670,0,31633.05,31633.05,31633.05,31637.5,31637.5,31637.5,31637.5,3.74,2.036,2.036,2.036,0.0,80.9,2949.7,25491.29,38055.57,30015.49,32636.93,36438.02,37847.04,11165.04,0.211,0.031,39.208,0.1
