test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,get_products,00:00:30,global information,300,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4406.41,27702.72,30425.23,30031.87,30064.64,30146.56,30343.17,7278.76,2.907,0.028,2.907,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,get_product_by_id,00:00:30,global information,300,53,247,1.8,13457.05,20668.83,29558.55,20185.09,24608.77,28442.62,29409.28,5195.51,0.352,0.4,0.44,0.0,8.2,4340.97,27087.03,30402.38,30031.87,30064.64,30162.94,30392.32,8069.94,2.922,0.035,2.922,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,create_product,00:00:30,global information,149,34,115,1.1,13966.45,20694.86,29999.68,20578.3,24494.08,28868.61,30015.49,4973.15,0.475,0.477,0.479,0.0,3.8,4607.67,26992.34,30417.64,30031.87,30064.64,30162.94,30310.4,8214.98,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,get_categories,00:00:30,global information,300,57,243,1.9,13454.67,21166.51,29935.05,20594.69,25657.34,28409.86,29573.12,5151.65,2.036,2.036,2.036,0.1,8.1,4354.65,27034.04,30417.97,30031.87,30064.64,30162.94,30392.32,8118.36,2.914,0.048,2.914,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,get_orders,00:00:30,global information,300,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4346.65,27538.22,30429.23,30031.87,30064.64,30162.94,30392.32,7517.44,2.897,0.028,2.897,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,browse_and_review,00:01:00,global information,300,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4821.03,29027.53,30418.08,30015.49,30031.87,30130.18,30228.48,4863.89,2.907,0.019,2.907,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,create_order_workflow,00:01:00,global information,180,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5097.23,31468.63,59128.32,30031.87,30048.26,55705.6,58818.56,9402.36,2.914,0.016,2.914,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,user_registration_and_browse,00:01:00,global information,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4837.76,30638.71,59627.52,30015.49,30048.26,51347.46,59441.15,8881.56,3.747,0.03,3.747,0.0
nbomber_default_test_suite_name,nbomber_default_test_name,stress_get_products,00:02:00,global information,4520,0,4520,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7,4069.56,29782.63,30411.5,30015.49,30031.87,30097.41,30179.33,2433.25,2.907,0.017,2.907,0.1
nbomber_default_test_suite_name,nbomber_default_test_name,spike_test,00:01:10,global information,1600,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,4098.48,29471.96,30392.63,30015.49,30031.87,30097.41,30179.33,3644.23,2.907,0.049,2.907,0.1
nbomber_default_test_suite_name,nbomber_default_test_name,constant_load,00:01:00,global information,30,10,20,0.2,28058.43,28511.66,29044.44,28524.54,28721.15,29048.83,29048.83,322.48,0.353,0.4,0.431,0.0,0.3,29999.64,30048.76,30312.05,30031.87,30048.26,30228.48,30326.78,77.64,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,mixed_operations_stress,00:01:00,global information,890,7,883,0.1,14259.78,25512.73,28888.48,28426.24,28491.78,28901.38,28901.38,5216.17,0.369,1.119,2.036,0.0,14.7,4170.98,29635.97,30418.62,30015.49,30031.87,30113.79,30212.1,3085.58,2.907,0.036,3.779,0.0
